"GeneID"	"omega0"	"MedianVar"	"VarRankBin"	"VarRankCategory"
"ENSDARG00000000002"	0.0650868297457183	0.426666666666667	0.5	"mid"
"ENSDARG00000000018"	0.0213010474689079	0.504722222222222	0.6	"mid"
"ENSDARG00000000019"	0.0183980414562483	0.209	0.3	"mid"
"ENSDARG00000000068"	0.0772069760688313	0.372954545454545	0.4	"mid"
"ENSDARG00000000069"	0.07079375700001	0.400833333333333	0.5	"mid"
"ENSDARG00000000086"	0.0280595416429952	0.478787878787879	0.5	"mid"
"ENSDARG00000000151"	0.017130023216702	0.487159090909091	0.5	"mid"
"ENSDARG00000000161"	0.0842961408839975	0.421363636363636	0.5	"mid"
"ENSDARG00000000175"	0.0767234675196211	0.490892857142857	0.5	"mid"
"ENSDARG00000000189"	0.0600078594378837	0.489166666666667	0.5	"mid"
"ENSDARG00000000241"	0.0485166802291301	0.402727272727273	0.5	"mid"
"ENSDARG00000000394"	0.125701379943569	0.286969696969697	0.3	"mid"
"ENSDARG00000000423"	0.0748738512369522	0.401666666666667	0.5	"mid"
"ENSDARG00000000442"	0.0695940276528169	0.615555555555556	0.7	"mid"
"ENSDARG00000000476"	0.135246989203462	0.359	0.4	"mid"
"ENSDARG00000000489"	0.0634617842590619	0.46515873015873	0.5	"mid"
"ENSDARG00000000503"	0.0122606337709419	0.332020202020202	0.4	"mid"
"ENSDARG00000000540"	0.0698246499542024	0.223977272727273	0.3	"mid"
"ENSDARG00000000542"	0.0495447436723039	0.175178571428571	0.2	"low"
"ENSDARG00000000551"	0.0423660494403341	0.538333333333333	0.6	"mid"
"ENSDARG00000000567"	0.088775651157789	0.266978021978022	0.3	"mid"
"ENSDARG00000000588"	0.0438159405697362	0.709583333333333	0.8	"mid"
"ENSDARG00000000631"	0.0661666198974532	0.341772727272727	0.4	"mid"
"ENSDARG00000000638"	0.0729460485590157	0.357	0.4	"mid"
"ENSDARG00000000651"	0.102210499379905	0.47	0.5	"mid"
"ENSDARG00000000656"	0.0731942445480592	0.442272727272727	0.5	"mid"
"ENSDARG00000000690"	0.0993178055843996	0.452727272727273	0.5	"mid"
"ENSDARG00000000729"	0.124381866197312	0.443611111111111	0.5	"mid"
"ENSDARG00000000747"	0.112483475671477	0.400844155844156	0.5	"mid"
"ENSDARG00000000760"	0.1030476486467	0.438194444444444	0.5	"mid"
"ENSDARG00000000767"	0.0713483628081697	0.591515151515152	0.6	"mid"
"ENSDARG00000000779"	0.0253407638444843	0.241439393939394	0.3	"mid"
"ENSDARG00000000796"	0.06903768285719	0.8425	0.9	"high"
"ENSDARG00000000830"	0.120319242357248	0.205555555555556	0.3	"mid"
"ENSDARG00000000857"	0.0256671025398485	0.675795454545455	0.7	"mid"
