"GeneID"	"TaxID"	"Taxon"	"qvalue"	"LRT"	"omega0"	"omega2"
"ENSDARG00000063344"	41665	"Neopterygii"	0.241735756688992	8.0477995514193	0.141487044055959	39.0680900878757
"ENSDARG00000063344"	1489341	"Osteoglossocephalai"	1	2.46291165240109e-09	0.144802822533533	1
"ENSDARG00000063344"	186625	"Clupeocephala"	1	2.30360657012716	0.144499477375496	33.1074869789827
"ENSDARG00000063344"	186634	"Otomorpha"	1	9.82254277914762e-11	0.144802973071841	1
"ENSDARG00000063344"	186626	"Otophysi"	0.467878882154253	6.28719653755252	0.145031148729221	123.71239824874
"ENSDARG00000069301"	117571	"Euteleostomi"	1	0.95183444210852	0.156553566790298	1.7531552229197
"ENSDARG00000069301"	7898	"Actinopterygii"	1	0.736823611834552	0.157471981599166	3.20706912938751
"ENSDARG00000069301"	41665	"Neopterygii"	1	0.802555885529728	0.157275799425803	3.70804351759103
"ENSDARG00000069301"	1489341	"Osteoglossocephalai"	0.0361804297692161	13.0273580523062	0.157341480243207	45.7691871745315
"ENSDARG00000069301"	186625	"Clupeocephala"	1	0.668245556837064	0.157502178904463	3.40642264601657
"ENSDARG00000069301"	186634	"Otomorpha"	1	0.0858125175145688	0.157558603965628	3.64657712029354
"ENSDARG00000069301"	186626	"Otophysi"	1	1.8159335013479e-07	0.157601948471523	3.49569398262503
"ENSDARG00000104901"	7898	"Actinopterygii"	1	2.2409949451685e-08	0.0353783816010082	1
"ENSDARG00000104901"	41665	"Neopterygii"	1	1.19289325084537e-08	0.0353787090540271	1
"ENSDARG00000104901"	1489341	"Osteoglossocephalai"	1	2.14859028346837e-08	0.0353784347597117	1
"ENSDARG00000104901"	186634	"Otomorpha"	1	1.15906004793942e-08	0.0353783236124081	1
"ENSDARG00000104901"	186626	"Otophysi"	1	0	0.0353788180508879	1
"ENSDARG00000030463"	7898	"Actinopterygii"	0.140244797402812	9.4932255111853	0.0521320785471686	3.72167865325773
