#gene_id	taxid	scientific_name	qvalue	lrt	omega0	omega2
ENSLOCG00000000004	41665	Neopterygii	0.588733946728013	5.67718557122862	0.0720348301866966	7.13561824490663
ENSLOCG00000000006	7898	Actinopterygii	0.587555261084291	5.68245781701989	0.0547174581332629	3.60039110698502
ENSLOCG00000000006	41665	Neopterygii	0.196911816549935	8.59105355200882	0.0549779727851012	3.55468708003897
ENSLOCG00000000008	7898	Actinopterygii	1	0.000000288964656647295	0.0335356276245408	1
ENSLOCG00000000008	41665	Neopterygii	0.748835159987801	5.03536645472923	0.0332778313464079	4.73618482203535
ENSLOCG00000000010	41665	Neopterygii	0.0313423881897503	13.3907697825489	0.103944384345102	6.88598086264417
ENSLOCG00000000011	41665	Neopterygii	0.57790499355398	5.72546633586899	0.0515065870758427	3.36598429335968
ENSLOCG00000000023	117571	Euteleostomi	1	0.149494426004821	0.0312544176329442	1.8486818831618
ENSLOCG00000000023	117571	Euteleostomi	1	0.000000131447450257838	0.0314414207928815	1
ENSLOCG00000000024	41665	Neopterygii	0.124070339953088	9.812420312217	0.0867440330653592	5.13037309676531
ENSLOCG00000000026	41665	Neopterygii	0.000338557035113458	25.9301845091395	0.120452653997904	9.08639600464499
ENSLOCG00000000028	41665	Neopterygii	1	2.53843858439359	0.16739931421055	4.09333277991595
ENSLOCG00000000028	41665	Neopterygii	1	1.78426718755509	0.167495660984932	3.99234803207785
ENSLOCG00000000030	41665	Neopterygii	1	2.53843858439359	0.16739931421055	4.09333277991595
ENSLOCG00000000030	41665	Neopterygii	1	1.78426718755509	0.167495660984932	3.99234803207785
ENSLOCG00000000035	41665	Neopterygii	0.481272153926412	6.21177493198775	0.107192442580794	3.93387731695162
ENSLOCG00000000039	41665	Neopterygii	1	2.53843858439359	0.16739931421055	4.09333277991595
ENSLOCG00000000039	41665	Neopterygii	1	1.78426718755509	0.167495660984932	3.99234803207785
ENSLOCG00000000047	41665	Neopterygii	1	0.000000378779077436775	0.0015594865654871	1
ENSLOCG00000000047	41665	Neopterygii	0.000320645459375304	35.8870965088936	0.00175664864867835	1000
ENSLOCG00000000054	117571	Euteleostomi	1	0.000000346604792866856	0.126102109582975	1
ENSLOCG00000000054	7898	Actinopterygii	1	0.0000000372237991541624	0.126470730507684	1
ENSLOCG00000000054	41665	Neopterygii	0.091342268776218	10.619824050169	0.12334426390491	11.2439161459302
ENSLOCG00000000078	117571	Euteleostomi	1	0.00000000205182004719973	0.0766738167061336	1
ENSLOCG00000000078	7898	Actinopterygii	1	0.0475874780968297	0.076516528841207	2.5378740159621
ENSLOCG00000000084	117571	Euteleostomi	0.000320645459375304	28.7813964688103	0.183430066829673	121.855250770412
ENSLOCG00000000085	7898	Actinopterygii	0.413216184470029	6.61350131005747	0.0233477666300151	2.80346108043299
ENSLOCG00000000085	41665	Neopterygii	1	1.67475510627264	0.0234770554270152	2.5903513544406
ENSLOCG00000000089	7898	Actinopterygii	0.301747662292173	7.45407777305809	0.0194522054078581	3.60704772338833
ENSLOCG00000000089	41665	Neopterygii	1	0.926249290379928	0.0196452041526241	3.71315038056323
ENSLOCG00000000092	117571	Euteleostomi	1	0.900247219426092	0.191451014775652	3.97715530734436
ENSLOCG00000000092	41665	Neopterygii	0.221905354554787	8.27345581655391	0.191937839650077	6.79565210072704
ENSLOCG00000000093	7898	Actinopterygii	1	0.26163951534545	0.0833141086026064	1.94497059483705
ENSLOCG00000000093	41665	Neopterygii	1	0.0000000692671164870262	0.0836409304941438	1.62652420290486
ENSLOCG00000000097	7898	Actinopterygii	0.034844052482722	13.1230510997702	0.0455337034232305	3.17170358847463
ENSLOCG00000000097	41665	Neopterygii	1	0.652525327750482	0.0459949021864734	1.73131519334829
ENSLOCG00000000098	117571	Euteleostomi	1	0.000000879474100656807	0.246102104207815	1
ENSLOCG00000000098	7898	Actinopterygii	1	0.0521318114988389	0.245998856041695	3.2565006073434
ENSLOCG00000000098	7898	Actinopterygii	1	3.4741447410488	0.245878455869711	3.37277806610982
ENSLOCG00000000108	7898	Actinopterygii	1	2.26695197916706	0.196266039331966	3.69431930149402
ENSLOCG00000000108	7898	Actinopterygii	0.513040222430379	6.04326879810833	0.194664334724525	9.91529288583934
ENSLOCG00000000108	41665	Neopterygii	0.10725328364287	10.1972793626192	0.195560610197505	9.37964431854478
ENSLOCG00000000119	7898	Actinopterygii	0.000678593584590303	22.9891725871712	0.161084372327697	3.78278876214219
ENSLOCG00000000119	7898	Actinopterygii	1	0.0000000202853698283434	0.163870650342533	1
ENSLOCG00000000120	117571	Euteleostomi	0.000320645459375304	38.1983733790112	0.03199161494082	52.8611083812049
ENSLOCG00000000120	41665	Neopterygii	0.000320645459375304	71.1160703619826	0.0317244033232123	9.34647969735455
ENSLOCG00000000130	41665	Neopterygii	0.583121492299552	5.70240095668123	0.238864352477885	2.02412854916995
ENSLOCG00000000145	7898	Actinopterygii	1	4.20017124164588	0.0889677648137059	3.68594659774922
ENSLOCG00000000145	41665	Neopterygii	1	3.99393316628993	0.088959426459826	4.10682842450307
ENSLOCG00000000153	41665	Neopterygii	1	3.22693543179776	0.134882754483297	1.96563760995729
ENSLOCG00000000156	117571	Euteleostomi	0.000320645459375304	26.988831928029	0.187982403306481	15.9504304126513
ENSLOCG00000000156	7898	Actinopterygii	1	0.000000247760908678174	0.188409294478116	1
ENSLOCG00000000156	41665	Neopterygii	1	0.0000000536092557013035	0.18887353974661	1
ENSLOCG00000000160	41665	Neopterygii	1	0.934221849798632	0.0318960461261151	3.66500539905033
ENSLOCG00000000165	7898	Actinopterygii	1	1.79618984503031	0.138442241058786	3.72653791678737
